股票代码,出现粘合日期,订单状态,进场日期,是否有平半仓,进场价格,出场日期,出场价格, 利润
002543,2012-10-17,压到红线止损出场,2012-10-22,True,17.45,2012-10-24,17.30375,-0.14624999999999844
002543,2012-10-16,压到红线止损出场,2012-10-19,True,17.45,2012-10-26,17.30375,-0.14624999999999844
002543,2012-10-15,压到红线止损出场,2012-10-18,True,17.45,2012-10-26,17.30375,-0.14624999999999844
002543,2012-08-29,未进场就被达到止损位置出场,,False,17.38,,0,0
002543,2012-08-28,未进场就被达到止损位置出场,,False,17.38,,0,0
002543,2012-08-27,止损出场,2012-08-30,False,17.35,2012-08-31,17.01,-0.33999999999999986
002543,2012-04-11,止损出场,2012-04-16,False,18.78,2012-04-23,18.05,-0.7300000000000004
002543,2012-03-07,压到红线止损出场,2012-03-12,True,19.29,2012-03-14,19.119374999999994,-0.1706250000000047
002290,2017-07-19,进场做多,2017-07-27,False,14.55,,0,0
002290,2016-09-26,未进场就被达到止损位置出场,,False,26.01,,0,0
002290,2013-11-11,压到红线止损出场,2013-11-14,True,9.32,2013-12-02,10.331249999999999,1.0112499999999986
002290,2013-06-03,"观望,未进场",,False,9.03,,0,0
002290,2013-04-23,压到红线止损出场,2013-05-08,True,8.44,2013-05-30,8.72125,0.28125
002290,2013-04-17,止损出场,2013-04-22,False,8.42,2013-04-23,8.16,-0.2599999999999998
002242,2017-03-01,压到红线止损出场,2017-03-06,True,18.38,2017-03-13,18.36125,-0.01875000000000071
002242,2017-02-14,未进场就被达到止损位置出场,,False,18.08,,0,0
002242,2017-02-13,压到红线止损出场,2017-02-22,True,18.14,2017-03-09,18.208750000000002,0.06875000000000142
002242,2016-12-07,"观望,未进场",,False,21.09,,0,0
002242,2016-09-27,压到红线止损出场,2016-09-30,True,19.9,2016-10-14,19.83666666666667,-0.06333333333332902
002242,2016-06-27,未进场就被达到止损位置出场,,False,18.3,,0,0
002242,2014-08-19,止损出场,2014-08-25,False,10.55,2014-08-26,10.25,-0.3000000000000007
002242,2013-11-12,未进场就被达到止损位置出场,,False,7.57,,0,0
002242,2013-11-11,未进场就被达到止损位置出场,,False,7.62,,0,0
002242,2013-08-29,压到红线止损出场,2013-09-03,True,6.64,2013-09-23,7.33375,0.6937500000000005
002242,2013-08-29,压到红线止损出场,2013-09-03,True,6.64,2013-09-23,7.33375,0.6937500000000005
002242,2013-08-28,压到红线止损出场,2013-09-02,True,6.46,2013-09-23,7.33375,0.8737500000000002
002242,2013-08-14,未进场就被达到止损位置出场,,False,6.45,,0,0
002242,2013-07-29,压到红线止损出场,2013-08-01,True,6.22,2013-08-16,6.2525,0.03250000000000064
002242,2013-05-22,未进场就被达到止损位置出场,,False,7.25,,0,0
002242,2013-05-16,止损出场,2013-05-21,True,7.21,2013-06-03,7.01,-0.20000000000000018
002035,2016-07-13,未进场就被达到止损位置出场,,False,26.18,,0,0
002242,2013-05-16,止损出场,2013-05-21,True,7.21,2013-06-03,7.01,-0.20000000000000018
002035,2016-07-12,未进场就被达到止损位置出场,,False,26.8,,0,0
002242,2013-05-15,止损出场,2013-05-20,True,7.14,2013-06-03,6.96,-0.17999999999999972
002035,2016-07-11,未进场就被达到止损位置出场,,False,26.8,,0,0
002032,2016-06-28,压到红线止损出场,2016-07-01,True,34.63,2016-07-25,38.28875,3.6587499999999977
002242,2013-05-14,止损出场,2013-05-17,True,7.14,2013-06-03,6.96,-0.17999999999999972
002035,2015-03-17,止损出场,2015-03-20,False,14.97,2015-03-25,14.42,-0.5500000000000007
002032,2015-12-22,止损出场,2015-12-25,False,29.39,2016-01-04,27.01,-2.379999999999999
002005,2017-07-19,未进场就被达到止损位置出场,,False,4.77,,0,0
002242,2013-05-13,止损出场,2013-05-16,True,7.14,2013-06-03,6.97,-0.16999999999999993
002035,2015-03-04,压到红线止损出场,2015-03-10,True,14.14,2015-03-25,14.648125000000002,0.5081250000000015
002005,2017-07-18,进场做多,2017-07-21,False,4.65,,0,0
002032,2015-03-12,压到红线止损出场,2015-03-17,True,19.62,2015-03-25,19.546875000000004,-0.07312499999999744
002005,2017-07-17,进场做多,2017-07-20,False,4.7,,0,0
002242,2013-02-27,止损出场,2013-03-04,False,7.18,2013-03-05,7.02,-0.16000000000000014
002035,2014-10-29,止损出场,2014-11-03,False,13.45,2014-11-11,12.88,-0.5699999999999985
002005,2016-11-16,未进场就被达到止损位置出场,,False,6.38,,0,0
002032,2015-03-12,压到红线止损出场,2015-03-17,True,19.62,2015-03-25,19.546875000000004,-0.07312499999999744
002242,2013-01-15,止损出场,2013-01-21,False,7.36,2013-01-23,7.12,-0.2400000000000002
002035,2014-06-18,未进场就被达到止损位置出场,,False,9.62,,0,0
002032,2015-03-11,压到红线止损出场,2015-03-16,True,19.62,2015-03-25,19.546875000000004,-0.07312499999999744
002242,2013-01-14,未进场就被达到止损位置出场,,False,7.36,,0,0
002035,2014-06-17,未进场就被达到止损位置出场,,False,9.88,,0,0
002032,2015-03-04,未进场就被达到止损位置出场,,False,19.15,,0,0
002035,2014-06-16,未进场就被达到止损位置出场,,False,9.99,,0,0
002242,2012-11-15,压到红线止损出场,2012-12-17,True,6.73,2013-01-11,6.947,0.21699999999999964
002032,2014-12-18,未进场就被达到止损位置出场,,False,19.07,,0,0
002035,2014-06-10,压到红线止损出场,2014-07-02,True,10.16,2014-07-16,10.655,0.4949999999999992
002242,2012-11-15,压到红线止损出场,2012-12-17,True,6.73,2013-01-11,6.947,0.21699999999999964
002032,2014-12-18,未进场就被达到止损位置出场,,False,19.07,,0,0
002035,2014-06-09,未进场就被达到止损位置出场,,False,10.21,,0,0
002032,2014-12-17,未进场就被达到止损位置出场,,False,19.1,,0,0
002242,2012-11-14,压到红线止损出场,2012-12-17,True,6.73,2013-01-11,6.947,0.21699999999999964
002035,2014-02-26,未进场就被达到止损位置出场,,False,11.09,,0,0
002032,2014-11-18,压到红线止损出场,2014-11-25,True,17.25,2014-12-05,17.070625,-0.17937500000000028
002242,2012-11-13,压到红线止损出场,2012-12-17,True,6.73,2013-01-11,6.947,0.21699999999999964
002035,2013-05-08,未进场就被达到止损位置出场,,False,11.52,,0,0
002032,2014-09-22,未进场就被达到止损位置出场,,False,15.9,,0,0
002035,2013-03-06,未进场就被达到止损位置出场,,False,9.7,,0,0
002242,2012-10-31,止损出场,2012-11-05,False,6.81,2012-11-14,6.62,-0.1899999999999995
002032,2014-09-03,止损出场,2014-09-09,False,15.97,2014-09-16,15.52,-0.45000000000000107
002035,2012-10-29,未进场就被达到止损位置出场,,False,7.7,,0,0
002242,2012-10-30,压到红线止损出场,2012-11-02,True,6.74,2012-11-06,6.75375,0.013749999999999929
002032,2014-08-13,止损出场,2014-08-18,False,14.98,2014-08-26,14.39,-0.5899999999999999
002035,2012-10-16,止损出场,2012-10-19,False,7.49,2012-10-26,7.28,-0.20999999999999996
002242,2012-10-29,压到红线止损出场,2012-11-01,True,6.74,2012-11-07,6.748125,0.008124999999999716
002032,2014-08-12,止损出场,2014-08-15,False,14.98,2014-08-26,14.39,-0.5899999999999999
002035,2012-06-18,未进场就被达到止损位置出场,,False,7.89,,0,0
002242,2012-10-25,未进场就被达到止损位置出场,,False,6.9,,0,0
002035,2011-04-26,未进场就被达到止损位置出场,,False,12.57,,0,0
002242,2012-10-25,未进场就被达到止损位置出场,,False,6.9,,0,0
002032,2014-03-26,"观望,未进场",,False,14.79,,0,0
002242,2012-10-24,未进场就被达到止损位置出场,,False,6.9,,0,0
002032,2013-10-30,未进场就被达到止损位置出场,,False,14.88,,0,0
002035,2009-08-11,未进场就被达到止损位置出场,,False,6.64,,0,0
002242,2012-10-23,未进场就被达到止损位置出场,,False,6.9,,0,0
002032,2013-09-30,压到红线止损出场,2013-10-10,True,12.78,2013-10-21,13.275714285714285,0.49571428571428555
002035,2009-08-10,止损出场,2009-10-29,False,6.73,2009-11-02,6.32,-0.41000000000000014
002242,2012-10-16,止损出场,2012-10-19,False,6.81,2012-10-26,6.68,-0.1299999999999999
002032,2013-09-16,压到红线止损出场,2013-10-09,True,13.15,2013-10-21,13.275714285714285,0.12571428571428456
002035,2009-07-15,止损出场,2009-07-20,True,6.38,2009-07-29,6.22,-0.16000000000000014
002242,2012-10-15,止损出场,2012-10-18,False,6.84,2012-10-26,6.68,-0.16000000000000014
002032,2013-05-29,止损出场,2013-06-03,False,13.69,2013-06-04,13.21,-0.47999999999999865
002035,2009-06-17,止损出场,2009-06-22,False,6.25,2009-06-23,6.11,-0.13999999999999968
002242,2012-08-27,未进场就被达到止损位置出场,,False,7.03,,0,0
002032,2013-05-28,压到红线止损出场,2013-05-31,True,13.69,2013-06-04,13.294999999999998,-0.39500000000000135
002035,2009-06-16,止损出场,2009-06-19,False,6.22,2009-06-23,6.1,-0.1200000000000001
000921,2017-07-18,止损出场,2017-07-21,False,15.74,2017-07-26,15.01,-0.7300000000000004
002242,2012-07-25,压到红线止损出场,2012-08-07,True,7.03,2012-08-17,6.988125000000001,-0.04187499999999922
002032,2013-05-22,压到红线止损出场,2013-05-28,True,13.39,2013-06-04,13.294999999999998,-0.09500000000000242
000921,2016-08-31,未进场就被达到止损位置出场,,False,11.62,,0,0
002035,2009-06-15,止损出场,2009-06-18,False,6.22,2009-06-23,6.07,-0.14999999999999947
000651,2017-02-13,未进场就被达到止损位置出场,,False,27.74,,0,0
002242,2012-07-24,未进场就被达到止损位置出场,,False,7.07,,0,0
002032,2013-04-22,压到红线止损出场,2013-04-25,True,11.29,2013-05-13,13.200999999999999,1.9109999999999996
000921,2016-02-02,止损出场,2016-02-05,False,7.36,2016-02-15,7.02,-0.34000000000000075
000651,2016-10-26,止损出场,2016-11-17,False,23.02,2016-11-18,22.35,-0.6699999999999982
002035,2007-11-21,压到红线止损出场,2007-11-26,True,7.28,2008-01-15,10.608571428571429,3.3285714285714283
002242,2012-07-23,止损出场,2012-08-07,False,7.2,2012-08-27,6.92,-0.28000000000000025
002032,2013-04-18,压到红线止损出场,2013-04-23,True,11.15,2013-05-13,13.200999999999999,2.0509999999999984
000921,2015-10-14,止损出场,2015-10-19,True,8.33,2015-10-21,7.96,-0.3700000000000001
000651,2016-10-18,止损出场,2016-10-21,True,22.05,2016-10-31,21.68,-0.370000000000001
002032,2013-04-18,压到红线止损出场,2013-04-23,True,11.15,2013-05-13,13.200999999999999,2.0509999999999984
002035,2007-11-20,压到红线止损出场,2007-11-23,True,7.28,2008-01-15,10.608571428571429,3.3285714285714283
000921,2014-10-16,未进场就被达到止损位置出场,,False,9.49,,0,0
002242,2012-06-05,"观望,未进场",,False,7.88,,0,0
000651,2016-10-17,未进场就被达到止损位置出场,,False,22.04,,0,0
002032,2013-01-17,止损出场,2013-01-22,True,12.14,2013-01-24,11.8,-0.33999999999999986
002035,2007-11-19,未进场就被达到止损位置出场,,False,7.24,,0,0
002242,2011-10-19,未进场就被达到止损位置出场,,False,8.87,,0,0
000921,2014-10-16,未进场就被达到止损位置出场,,False,9.49,,0,0
000651,2015-12-01,压到红线止损出场,2015-12-04,True,21.0,2015-12-29,22.211249999999996,1.2112499999999962
002032,2013-01-17,止损出场,2013-01-22,True,12.14,2013-01-24,11.8,-0.33999999999999986
002035,2007-11-12,压到红线止损出场,2007-11-15,True,6.96,2007-11-29,7.07625,0.11624999999999996
002242,2011-10-18,未进场就被达到止损位置出场,,False,9.09,,0,0
000921,2014-10-15,"观望,未进场",,False,9.49,,0,0
000651,2015-11-02,压到红线止损出场,2015-11-05,True,18.08,2015-11-16,18.731875,0.6518750000000004
002242,2010-12-08,未进场就被达到止损位置出场,,False,16.78,,0,0
002032,2012-12-06,压到红线止损出场,2012-12-11,True,10.12,2013-01-08,11.84,1.7200000000000006
000651,2014-10-27,压到红线止损出场,2014-10-30,True,27.26,2014-10-31,27.63,0.36999999999999744
000921,2014-06-17,未进场就被达到止损位置出场,,False,9.06,,0,0
000541,2017-07-06,止损出场,2017-07-11,False,9.35,2017-07-14,9.14,-0.20999999999999908
002032,2012-12-06,压到红线止损出场,2012-12-11,True,10.12,2013-01-08,11.84,1.7200000000000006
000541,2017-07-06,止损出场,2017-07-11,False,9.35,2017-07-14,9.14,-0.20999999999999908
000651,2014-08-26,未进场就被达到止损位置出场,,False,29.33,,0,0
000921,2014-06-16,止损出场,2014-07-28,True,9.07,2014-08-06,8.89,-0.17999999999999972
000541,2017-07-05,止损出场,2017-07-10,False,9.35,2017-07-17,9.09,-0.2599999999999998
002032,2012-12-05,压到红线止损出场,2012-12-10,True,9.93,2013-01-08,11.84,1.9100000000000001
000541,2017-07-04,压到红线止损出场,2017-07-07,True,9.16,2017-07-14,9.15,-0.009999999999999787
000651,2014-06-23,止损出场,2014-06-26,False,29.32,2014-07-01,28.68,-0.6400000000000006
000541,2017-07-03,压到红线止损出场,2017-07-06,True,9.17,2017-07-14,9.15,-0.019999999999999574
000921,2012-09-20,未进场就被达到止损位置出场,,False,3.93,,0,0
002032,2012-12-04,压到红线止损出场,2012-12-07,True,9.87,2013-01-08,11.84,1.9700000000000006
000651,2013-11-18,压到红线止损出场,2013-11-21,True,30.96,2013-12-17,32.299375,1.3393749999999969
000541,2017-02-07,压到红线止损出场,2017-02-10,True,9.71,2017-03-13,10.553124999999998,0.843124999999997
000921,2012-09-20,未进场就被达到止损位置出场,,False,3.93,,0,0
002032,2012-11-13,未进场就被达到止损位置出场,,False,9.97,,0,0
000651,2012-10-15,未进场就被达到止损位置出场,,False,21.91,,0,0
000541,2017-02-06,压到红线止损出场,2017-02-09,True,9.71,2017-03-13,10.553124999999998,0.843124999999997
000921,2012-09-19,未进场就被达到止损位置出场,,False,3.98,,0,0
002032,2012-11-12,未进场就被达到止损位置出场,,False,10.01,,0,0
000651,2012-08-07,未进场就被达到止损位置出场,,False,21.26,,0,0
000541,2017-01-05,未进场就被达到止损位置出场,,False,10.15,,0,0
000921,2012-09-18,未进场就被达到止损位置出场,,False,3.98,,0,0
000651,2012-08-06,未进场就被达到止损位置出场,,False,21.26,,0,0
002032,2012-10-24,压到红线止损出场,2012-12-11,True,10.56,2013-01-08,11.84,1.2799999999999994
000541,2017-01-05,未进场就被达到止损位置出场,,False,10.15,,0,0
000921,2012-09-12,未进场就被达到止损位置出场,,False,4.23,,0,0
000651,2012-06-25,未进场就被达到止损位置出场,,False,21.99,,0,0
000541,2017-01-04,未进场就被达到止损位置出场,,False,10.18,,0,0
002032,2012-10-23,止损出场,2012-12-11,False,10.73,2012-12-12,10.33,-0.40000000000000036
000921,2012-09-11,未进场就被达到止损位置出场,,False,4.23,,0,0
000541,2017-01-03,未进场就被达到止损位置出场,,False,10.18,,0,0
000651,2011-11-14,"观望,未进场",,False,20.0,,0,0
002032,2012-10-22,止损出场,2012-12-11,False,10.75,2012-12-12,10.56,-0.1899999999999995
000921,2012-08-21,压到红线止损出场,2012-08-24,True,3.89,2012-09-05,4.01,0.11999999999999966
000541,2016-10-26,未进场就被达到止损位置出场,,False,10.47,,0,0
000651,2011-10-18,未进场就被达到止损位置出场,,False,20.05,,0,0
002032,2012-10-16,止损出场,2012-10-19,False,10.58,2012-10-24,10.38,-0.1999999999999993
000921,2012-08-20,压到红线止损出场,2012-08-23,True,3.71,2012-09-05,4.01,0.2999999999999998
000541,2016-10-25,未进场就被达到止损位置出场,,False,10.51,,0,0
000651,2011-10-17,未进场就被达到止损位置出场,,False,20.15,,0,0
002032,2012-10-15,止损出场,2012-10-18,False,10.65,2012-10-24,10.34,-0.3100000000000005
000921,2012-06-25,未进场就被达到止损位置出场,,False,4.02,,0,0
000541,2016-10-24,未进场就被达到止损位置出场,,False,10.53,,0,0
000651,2011-07-11,止损出场,2011-07-14,False,24.07,2011-07-19,23.01,-1.0599999999999987
002032,2012-06-25,未进场就被达到止损位置出场,,False,12.99,,0,0
000921,2012-05-07,未进场就被达到止损位置出场,,False,4.47,,0,0
000541,2016-10-20,未进场就被达到止损位置出场,,False,10.59,,0,0
000651,2011-06-22,压到红线止损出场,2011-06-27,True,22.99,2011-07-06,23.1275,0.13750000000000284
002032,2012-03-14,止损出场,2012-03-19,False,16.96,2012-03-26,15.88,-1.08
000921,2012-02-06,未进场就被达到止损位置出场,,False,4.21,,0,0
000541,2016-10-20,未进场就被达到止损位置出场,,False,10.59,,0,0
000651,2011-06-21,压到红线止损出场,2011-06-24,True,22.74,2011-07-13,23.42625,0.6862500000000011
002032,2012-03-13,止损出场,2012-03-16,False,16.96,2012-03-26,15.99,-0.9700000000000006
000921,2011-11-17,"观望,未进场",,False,5.01,,0,0
000541,2016-10-19,止损出场,2016-11-15,False,10.62,2016-11-21,10.44,-0.17999999999999972
000651,2011-06-20,压到红线止损出场,2011-06-23,True,22.25,2011-07-06,23.1275,0.8775000000000013
002032,2011-11-07,止损出场,2011-11-16,True,18.58,2011-11-18,18.2,-0.379999999999999
000541,2013-10-24,止损出场,2013-11-06,False,6.22,2013-11-07,6.11,-0.10999999999999943
000921,2011-11-17,"观望,未进场",,False,5.01,,0,0
000651,2011-05-24,压到红线止损出场,2011-06-22,True,22.55,2011-07-06,23.1275,0.5775000000000006
002032,2011-09-20,"观望,未进场",,False,22.2,,0,0
000541,2013-10-24,止损出场,2013-11-06,False,6.22,2013-11-07,6.11,-0.10999999999999943
000651,2010-09-08,未进场就被达到止损位置出场,,False,15.45,,0,0
000921,2011-11-16,"观望,未进场",,False,5.06,,0,0
002032,2011-06-27,止损出场,2011-06-30,False,23.2,2011-07-01,22.6,-0.5999999999999979
000541,2013-10-23,未进场就被达到止损位置出场,,False,6.34,,0,0
000651,2010-09-07,止损出场,2010-10-13,True,15.58,2010-10-22,15.15,-0.4299999999999997
000921,2011-10-18,未进场就被达到止损位置出场,,False,5.2,,0,0
002032,2010-12-08,压到红线止损出场,2010-12-13,True,23.89,2010-12-20,23.889374999999998,-0.0006250000000029843
000541,2013-10-22,止损出场,2013-12-06,False,6.36,2013-12-20,6.18,-0.1800000000000006
000651,2010-06-29,未进场就被达到止损位置出场,,False,20.49,,0,0
000921,2011-09-01,未进场就被达到止损位置出场,,False,6.03,,0,0
000333,2017-07-17,未进场就被达到止损位置出场,,False,42.5,,0,0
002032,2010-10-12,未进场就被达到止损位置出场,,False,22.71,,0,0
000333,2017-04-11,压到红线止损出场,2017-04-14,True,33.06,2017-04-24,33.027499999999996,-0.03250000000000597
000541,2013-10-16,未进场就被达到止损位置出场,,False,6.25,,0,0
000651,2010-06-28,未进场就被达到止损位置出场,,False,20.61,,0,0
000921,2011-09-01,未进场就被达到止损位置出场,,False,6.03,,0,0
002032,2009-08-04,未进场就被达到止损位置出场,,False,18.17,,0,0
000333,2017-04-05,未进场就被达到止损位置出场,,False,33.89,,0,0
000541,2013-09-11,止损出场,2013-09-16,False,6.64,2013-09-17,6.5,-0.13999999999999968
000921,2011-07-25,未进场就被达到止损位置出场,,False,6.76,,0,0
002032,2009-06-22,止损出场,2009-06-25,False,15.1,2009-07-02,14.6,-0.5
000651,2010-04-14,"观望,未进场",,False,26.8,,0,0
000333,2016-11-02,止损出场,2016-11-10,False,27.71,2016-11-11,27.3,-0.41000000000000014
000541,2013-08-14,未进场就被达到止损位置出场,,False,6.71,,0,0
000921,2011-07-21,压到红线止损出场,2011-07-26,True,6.55,2011-07-29,6.52125,-0.02874999999999961
002032,2009-06-18,压到红线止损出场,2009-06-23,True,14.8,2009-06-30,14.781250000000002,-0.018749999999998934
000533,2017-06-29,止损出场,2017-07-04,False,11.3,2017-07-17,10.42,-0.8800000000000008
000533,2017-06-29,止损出场,2017-07-04,False,11.3,2017-07-17,10.42,-0.8800000000000008
000541,2013-04-24,压到红线止损出场,2013-05-02,True,6.06,2013-05-13,6.709999999999999,0.6499999999999995
000333,2016-08-17,"观望,未进场",,False,29.1,,0,0
000921,2011-07-21,压到红线止损出场,2011-07-26,True,6.55,2011-07-29,6.52125,-0.02874999999999961
002032,2009-06-18,压到红线止损出场,2009-06-23,True,14.8,2009-06-30,14.781250000000002,-0.018749999999998934
000533,2017-06-28,压到红线止损出场,2017-07-03,True,10.57,2017-07-12,10.945625,0.37562499999999943
000541,2013-04-16,压到红线止损出场,2013-04-19,True,5.94,2013-05-13,6.709999999999999,0.7699999999999987
000921,2010-10-13,止损出场,2010-10-25,False,7.41,2010-11-08,7.11,-0.2999999999999998
000533,2017-06-06,止损出场,2017-06-12,False,10.3,2017-06-22,10.1,-0.20000000000000107
002032,2009-06-17,压到红线止损出场,2009-06-22,True,14.68,2009-06-30,14.781250000000002,0.10125000000000206
000333,2016-08-16,"观望,未进场",,False,29.15,,0,0
000541,2013-02-26,未进场就被达到止损位置出场,,False,7.05,,0,0
000533,2014-06-17,未进场就被达到止损位置出场,,False,4.14,,0,0
000921,2010-09-06,止损出场,2010-09-09,False,7.45,2010-09-10,7.2,-0.25
002032,2009-06-16,压到红线止损出场,2009-06-19,True,14.72,2009-06-30,14.781250000000002,0.06125000000000114
000333,2015-10-29,压到红线止损出场,2015-11-03,True,28.4,2015-11-16,29.358125000000005,0.9581250000000061
000541,2013-01-15,未进场就被达到止损位置出场,,False,6.96,,0,0
000533,2014-06-16,未进场就被达到止损位置出场,,False,4.14,,0,0
000921,2009-03-09,止损出场,2009-03-12,True,3.14,2009-03-25,2.83,-0.31000000000000005
002032,2009-06-15,未进场就被达到止损位置出场,,False,14.72,,0,0
000521,2016-10-17,止损出场,2016-10-20,False,6.99,2016-12-12,6.52,-0.47000000000000064
000333,2015-10-29,压到红线止损出场,2015-11-03,True,28.4,2015-11-16,29.358125000000005,0.9581250000000061
000541,2012-10-15,止损出场,2012-10-18,False,7.01,2012-10-22,6.83,-0.17999999999999972
000533,2014-06-03,未进场就被达到止损位置出场,,False,4.14,,0,0
002032,2009-06-11,未进场就被达到止损位置出场,,False,14.93,,0,0
000521,2013-05-29,未进场就被达到止损位置出场,,False,4.1,,0,0
